ASV,Phylum,Class,Order,Family,Genus,Larvae Zero vs High Day 12,Rearing Water 48-hr vs 12-Day,Rearing Water Field vs High Day 12,Rearing Water Zero vs High Day 12
34be10eff5ed6c065535ee500999b013, Proteobacteria, Gammaproteobacteria, Burkholderiales_597441, Chitinibacteraceae, Silvimonas,,-3.6290489,,
39032f4b6765815d5012773e6807e4be, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas_L_486704,,2.951356311,,
3bd21c1f2b1ae487f30791218b8444c0, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae,Family_ Caulobacteraceae,,7.233042922,-2.675685175,-3.470941405
44d2df836124b3a024baa940060336ea, Proteobacteria, Gammaproteobacteria, Enterobacterales_A_737866, Enterobacteriaceae_A,Family_ Enterobacteriaceae_A,,,8.772665539,9.439518435
47a685bf79eceaea3744e793d5f62302, Bacteroidota, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter_887417,,7.241969842,,
4d723a182561c3d3e0268d0a49d1c1b1, Firmicutes_A, Clostridia_258483, Peptostreptococcales, Anaerovoracaceae, Anaerovorax,,3.172008213,,
5228abf2f3f8c49b39b8b28a2d51ca69, Proteobacteria, Gammaproteobacteria, Enterobacterales_A_737866, Enterobacteriaceae_A,Family_ Enterobacteriaceae_A,,-2.547784476,,
55dc51d062e8fc16a9863e5831c81e7e, Proteobacteria, Gammaproteobacteria, Burkholderiales_592522, Burkholderiaceae_A_592522, Pelomonas,,,,10.22141188
619c3de5eeb611ade520111aaeba53df, Proteobacteria, Gammaproteobacteria, Xanthomonadales_613062, Rhodanobacteraceae_613062, Rhodanobacter_612715,,-2.297381123,,
62d93060a86b3c0bb37b3634e5529004, Proteobacteria, Alphaproteobacteria, Rhizobiales_A_504705, Beijerinckiaceae, Rhodoblastus,,8.097919686,,
6e14f4034e782617c3ae143ef74c3de4, Firmicutes_C, Negativicutes, Propionisporales_41694, Propionisporaceae_41694, Pelosinus,,7.152319861,-3.078883889,-3.690628033
73b7563f30dc3ad68a861e25ce589c0a, Actinobacteriota, Actinomycetia, Mycobacteriales, Mycobacteriaceae, Mycobacterium,4.356548181,,5.108242923,7.22386424
77d6a7db6de3bb1f15a02fdb36f90627, Proteobacteria, Alphaproteobacteria, Rhizobiales_A_504705, Xanthobacteraceae_503485, Bradyrhizobium,,5.074184583,2.084156298,3.21425583
791f845d6864ddc9d35223e29563a722, Firmicutes_D, Bacilli, Paenibacillales, NBRC-103111, Gorillibacterium,,6.474464923,,
7bc6304a3b13c6ca73dfca4497a00dc5, Firmicutes_A, Clostridia_258483, Lachnospirales, Lachnospiraceae, Lacrimispora,,3.69947602,-5.478687254,-6.401330566
7e71c85c649101d11ad8b09f392fac24, Firmicutes_A, Clostridia_258483, Lachnospirales, Lachnospiraceae, Lacrimispora,,,,-4.012804771
80a305cdd00e92a1ec31e49726e5c579, Proteobacteria, Gammaproteobacteria, Burkholderiales_592524, Burkholderiaceae_A_574934,Family_ Burkholderiaceae_A_574934,,,,2.654834846
83c5080c17148e57203bfe91dfc8f1f5, Cyanobacteria, Cyanobacteriia, Cyanobacteriales, Coleofasciculaceae_23353, SIO2C1,7.528244152,,8.128080809,8.996992033
847ef1a2b17a1c61035475b56d24122d, Proteobacteria, Gammaproteobacteria, Burkholderiales_592524, Burkholderiaceae_A_574758, Massilia,,-5.606855668,,
8536aec67a06e54d247b53e2eaa9cd0b, Proteobacteria, Alphaproteobacteria, Rhizobiales_A_501058, Rhizobiaceae_A_501058, Rhizobium_A_501058,,1.492937733,,
8e21d64094bc755bf2c44fba1f4bc4fe, Proteobacteria, Alphaproteobacteria, Rhizobiales_A_501396, Rhizobiaceae_A_499470, Mesorhizobium_F_498388,,,,-3.390687921
90233fafe474291137723be1c7eb3733, Actinobacteriota, Actinomycetia, Actinomycetales, Microbacteriaceae, Leifsonia_A_381664,,2.423761997,,
929d9a7f88bd83bc06d889c356d9a13e, Proteobacteria, Gammaproteobacteria, Enterobacterales_A_737866, Enterobacteriaceae_A,Family_ Enterobacteriaceae_A,,-1.359713406,-2.612467329,-2.856912366
951bd5ee0c2df7f25c6c2959e3c45295, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae,Family_ Sphingomonadaceae,,7.830738992,1.916058764,2.12071535
96a0375319176819bf705b9a499aa3b9, Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae, Terriglobus_A,,4.267572692,,
97a11e4a9b1dc35e2b88bf01ff22454b, Proteobacteria, Gammaproteobacteria, Xanthomonadales_613062, Rhodanobacteraceae_613062, Dyella_B,,1.732745699,,-3.912906675
99b756b6e6f75561a8def50a3296352c, Proteobacteria, Gammaproteobacteria, Burkholderiales_592524, Burkholderiaceae_A_574758, Massilia,,-2.585100334,,
a3722ccdc1fa409dc04c94095ae80889, Bacteroidota, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter_887417,,-4.791177579,,
a536ca161f571f729ef0afda8d01ea36, Proteobacteria, Alphaproteobacteria, Acetobacterales, Acetobacteraceae, ,4.680166472,,5.334352974,5.484213565
ad9a88474fe1a5a88942053997b2b30b, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Caulobacter_487784,,7.599779576,,-2.284828027
b3f56d15e796f3c8df1280aa11fcde5e, Proteobacteria, Alphaproteobacteria,Class_ Alphaproteobacteria,Class_ Alphaproteobacteria,Class_ Alphaproteobacteria,,5.570477379,-2.088128691,
b5c75ab1f927fba097a9231ea3675f1b, Firmicutes_A, Clostridia_258483, Clostridiales, Clostridiaceae_222000, Clostridium_AM,,5.514325356,-3.105188965,-3.291455669
c5a7332399735113a898e9e35b406e5c, Firmicutes_D, Bacilli, Paenibacillales, Paenibacillaceae_367444, Paenibacillus_J_366884,,-2.238746546,,
c7c779fa3082af6f739c913c4bd51520, Firmicutes_A, Clostridia_258483, Peptostreptococcales, Anaerovoracaceae, Aminipila,,5.412912895,,-2.526414752
c87f305e278617ac231a0a57d7a27a25, Firmicutes_A, Clostridia_258483, Clostridiales, Clostridiaceae_222000,Family_ Clostridiaceae_222000,,7.763764429,,
ce26d5a6ffcb3cfd10d41e062817b902, Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae, Terriglobus_A,,4.723224595,,
d0792b2b0d7cb4184326f12dd7c53c26, Proteobacteria, Alphaproteobacteria, Rhizobiales_A_504705, Xanthobacteraceae_503485, Rhodopseudomonas,,8.332344084,,-4.798151797
d2208d27b5df4c53eb547f7ac45f4d6b, Bacteroidota, Bacteroidia, Flavobacteriales_877923, Weeksellaceae, Chryseobacterium_796614,,-2.817397096,-2.419705472,-1.990293946
eacb62c027f1b38ff5ed6af750917d01, Proteobacteria, Gammaproteobacteria, Xanthomonadales_613062, Rhodanobacteraceae_613062, Rhodanobacter_613036,,-2.225986576,,
ec401eab818f8942fe0c25baca538930, Firmicutes_A, Clostridia_258483, Lachnospirales, Lachnospiraceae, Anaerocolumna,,8.906139832,,
eccf16383ba8992f6525ca53e4ae5096,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,7.62117169,,8.191020799,9.36961692
ef5a2480e55d717d0c565e287f82a473, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium_485350,,3.990943238,-2.966846863,-3.434446851
f94177d64f0f3dd3b8ddc7282ffeaef0, Proteobacteria, Gammaproteobacteria, Pseudomonadales_650611, Pseudomonadaceae, Pseudomonas_E_647464,,-5.626336395,,
fdc98ace23a34dc8e3a4dfc4f2e9e6b6, Proteobacteria, Gammaproteobacteria, Burkholderiales_595422, Burkholderiaceae_A_595422,Family_ Burkholderiaceae_A_595422,,3.413488867,,-3.605826194
