,Sample ID,Treatment,Sample Type,Pre-pooling DNA (ng/uL),Total Reads,Observed ASVs,Breakaway Estimate of Richness,Breakaway Error,Shannon Sample-Wise,Shannon Error
6,GNO2,mom,late larval water,0.861,8691,84,85.15926391,1.316484673,2.893857508,0.012674243
11,GNO3,mom,late larval water,3.64,1567,46,46.02901512,0.172846898,2.731389356,0.033272938
16,GNO4,mom,late larval water,4.18,4072,69,69.34691113,0.623614752,2.971513723,0.020810872
26,GNO5,mom,late larval water,24,2902,57,57.94609585,1.099738109,2.815278393,0.026292379
31,GNO6,mom,late larval water,6.6,2457,62,62.7822866,0.971766666,2.793863743,0.015384175
29,GNO58,mom stock,stock,14,18180,88,88.10513135,0.340997687,2.860136931,0.009394034
2,GNO10,mom:lab (1:1),late larval water,19,11844,80,80.05772158,0.247217623,2.819817031,0.012750957
4,GNO11,mom:lab (1:1),late larval water,12,16394,83,83.2993628,0.631372118,2.634173581,0.007567216
5,GNO12,mom:lab (1:1),late larval water,8.3,29172,93,93.27594606,0.599570988,2.870031862,0.004763314
34,GNO66,mom:lab (1:1),adult,3.88,3302,34,34.29002824,0.556266714,1.002203052,0.020746396
37,GNO7,mom:lab (1:1),late larval water,13,18893,89,89.16742491,0.448132599,2.556007926,0.011407788
46,GNO8,mom:lab (1:1),late larval water,15,59757,104,104.2695652,3.230207253,2.685084439,0.007753877
57,GNO9,mom:lab (1:1),late larval water,9.1,23165,96,97.91562365,1.745314467,2.629546637,0.01130758
14,GNO38,mom:lab (10:1),late larval water,12,19243,77,77.54840719,0.780950131,2.628520093,0.008398866
15,GNO39,mom:lab (10:1),late larval water,17,15155,83,83.05263158,3.689112606,3.14162911,0.013367303
17,GNO40,mom:lab (10:1),late larval water,3.38,16557,77,77.88209773,1.18315572,2.710772078,0.019747051
18,GNO41,mom:lab (10:1),late larval water,14,16783,82,82.67334765,1.336931006,3.363136691,0.007863709
19,GNO42,mom:lab (10:1),late larval water,5.7,10426,89,89.73535534,5.346733119,3.069039244,0.009592361
20,GNO43,mom:lab (10:1),late larval water,9.5,8322,76,76.78791685,1.040982545,3.322094099,0.010041139
35,GNO68,mom:lab (10:1),adult,0.732,1212,28,28.83015043,0.989293846,1.276433588,0.04970693
21,GNO44,mom:un_field (1:1),late larval water,2.91,7385,74,74.31579935,0.604209335,2.920363684,0.023562357
22,GNO45,mom:un_field (1:1),late larval water,2.91,20344,122,122.6401925,0.867118484,3.170343094,0.007452669
23,GNO46,mom:un_field (1:1),late larval water,14,8257,83,83.22038541,0.495398167,3.026168306,0.018362849
24,GNO47,mom:un_field (1:1),late larval water,3.22,8686,80,80.55379664,0.79560958,2.823211659,0.012877922
25,GNO49,mom:un_field (1:1),late larval water,5.4,12801,110,110.8435911,1.013366083,2.935548833,0.023260339
27,GNO50,mom:un_field (1:1),late larval water,6.7,5711,83,83.94159299,1.056728336,2.986668044,0.015684771
36,GNO69,mom:un_field (1:1),adult,0.44,2943,35,35.51100266,0.773907639,0.521129551,0.02666699
51,GNO84,mom:un_field (10:1),late larval water,0.626,21468,88,88.32108797,0.596194116,1.933453179,0.00764171
52,GNO85,mom:un_field (10:1),late larval water,0.193,712,48,48.04379865,0.21380459,3.383409566,0.051334313
53,GNO86,mom:un_field (10:1),late larval water,0.285,32297,90,91.06771895,1.229125837,1.020621556,0.009413303
54,GNO87,mom:un_field (10:1),late larval water,0.433,32732,154,154.2090678,0.47339772,2.701674909,0.009086197
55,GNO88,mom:un_field (10:1),late larval water,0.488,20217,126,126.0313719,0.179935221,3.204506796,0.005144317
56,GNO89,mom:un_field (10:1),late larval water,0.179,28485,112,117.7977032,6.569490847,1.803544304,0.016893924
59,GNO94,mom:un_field (10:1),adult,1.78,3034,29,30.23318836,2.584160848,0.981289431,0.018949257
38,GNO72,un_field,late larval water,0.197,3841,67,67.61575218,1.665529546,2.118130094,0.034342296
39,GNO73,un_field,late larval water,0.333,3527,67,67.26353136,0.54660632,2.928934736,0.021527855
40,GNO74,un_field,late larval water,1,27854,87,87.17387003,0.434801775,1.487371871,0.011228205
41,GNO75,un_field,late larval water,0.302,1704,54,55.17316163,1.224167886,2.808828334,0.024018769
42,GNO76,un_field,late larval water,0.687,14111,70,70.1438157,0.394035959,1.470361873,0.007077672
43,GNO77,un_field,late larval water,0.468,1409,37,37.32624651,0.59063831,1.926593672,0.030973702
58,GNO91,un_field,adult,3.87,37328,122,122.8221299,1.142444582,2.531860009,0.010045766
32,GNO60,un_field stock,stock,1.95,26462,135,135.4873353,0.758200267,3.561947616,0.006973286
