ASV,Phylum,Class,Order,Family,Genus,Maternal ASV (hatch),Egg Water ASV (hatch),Paternal ASV (hatch),Maternal ASV (pupation),Paternal ASV (pupation),Egg Water ASV (pupation),Late Water ASV (pupation),Egg Water ASV (survival),Late Water ASV (survival)
50913e183d370fea10b78e72aa5b81d7,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Family_Microbacteriaceae,NA,-0.262565499,NA,NA,NA,NA,NA,NA,NA
50a3b56e0b7db75ee9daccf7a751ba41,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,-0.397374282,NA,NA,0.436607992,NA,NA,NA,NA,NA
50cd0822f350f8f5e1f8c59e67e10980,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA,NA,NA,-0.722366528,NA,0.479552975,NA,NA,NA
524c385df0ab7e16602e53b507548e80,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Bact-08,NA,NA,0.243399342,NA,NA,NA,NA,NA,NA
5412d2807b8f298d1409593699d32beb,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,-0.528590647,NA,NA,NA,NA,NA,NA,NA,NA
541ec62b0f90585ad0169ee26ccab743,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylophilus,NA,NA,NA,NA,0.551473042,NA,0.809902076,NA,NA
54e7b2139640ec28fbaf7f0491cad845,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,JC017,-0.480656052,NA,NA,NA,NA,NA,NA,NA,NA
55dc51d062e8fc16a9863e5831c81e7e,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pelomonas,-0.352778152,NA,NA,NA,NA,NA,NA,NA,NA
565eb788433094300eceacd42ade4899,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Rhodococcus,-0.445448145,NA,NA,NA,NA,NA,NA,NA,NA
56a83a5563d39e60b1403d155627944b,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,0.449040411,NA,NA,-0.97191763,NA,NA,NA,NA,NA
57acb5e15beca0ae3ae316d707263900,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,JC017,-0.598387719,NA,NA,NA,NA,NA,NA,NA,NA
588b5ccdde9b0d39d61568731d7e223f,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,-0.387965869,NA,NA,NA,NA,NA,NA,NA,NA
5a643416912cd501b32774890bd72a5f,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
5b0166761098e7f06ef757c1472d2502,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,-0.467325751,NA,NA,NA,NA,NA,NA,NA,NA
5b1302e60016e322bbdc6979447a86ed,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,0.449040411,NA,NA,NA,NA,0.446454343,NA,NA,NA
5b29df8b5b26c111a279f57fd53e7b8e,Firmicutes,Bacilli,Bacillales,Anoxybacillaceae,Family_Anoxybacillaceae,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
5c96ec70d2839b27eb48f2226c96e2ca,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,0.449040411,NA,NA,NA,NA,0.977392615,NA,NA,NA
5e2d110e486533b28818cfce79960e35,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
5f2b6696771fd9a4371f3c229e6b137e,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,-0.528590647,NA,NA,NA,NA,NA,NA,NA,NA
5f62852c777d05477e044c49c5941041,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,-0.37988469,NA,NA,NA,NA,NA,NA,NA,NA
5f6d574b15cbc75cdffbc84b329bb26a,Firmicutes,Bacilli,Class_Bacilli,Class_Bacilli,Class_Bacilli,NA,NA,0.259620097,NA,NA,NA,NA,NA,NA
619c3de5eeb611ade520111aaeba53df,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
625ecf7bcebfadce2c2bf682ed45b2b2,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Family_Enterobacteriaceae,0.246635777,NA,NA,NA,NA,NA,NA,-0.490724354,NA
651b456fad22829867a61aff2a233caa,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,NA,NA,NA,NA,NA,NA,NA,-0.384360121,NA
65a13f1d1a0ce42556e49a570ddd8dcf,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,NA,NA,NA,-0.387414423,-0.43474955,0.607299454,NA,-1.239928446,NA
65e2fe387bfdf0fa880811cceac1d59e,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,-0.445618726,NA,NA,0.464314753,NA,NA,NA,NA,NA
6676c8881002eb829fcadf5f9928888f,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Family_Microbacteriaceae,NA,-0.275476953,NA,NA,NA,NA,NA,NA,NA
66abaee179be7e5928c221b18207caf9,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Family_Microbacteriaceae,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
677929eac52be081cdae08a0b9c70eb2,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Family_Enterobacteriaceae,-0.112094678,NA,NA,0.261004627,NA,0.297195485,NA,NA,NA
68306d27ad6cb978a8606dafd39d8c20,Proteobacteria,Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
6a9e6cd156ec3e7ca51f4912bfe49614,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,NA,NA,0.270509809,NA,NA,NA,NA,NA,NA
6abcee93286fa4a279e47953bc18a7a7,Planctomycetota,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,UBA2421,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
6ba560a76661744bc65eed04953c1314,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,NA,NA,NA,0.251555068,0.381504989,NA,NA,NA,NA
6c84542f6460f7b4cd5bf61da89bf26a,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,NA,NA,NA,-0.722366528,0.344417358,NA,0.154211633,NA,NA
6c891abaa8f2147383dd332e601800eb,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Micrococcus,-0.258592004,NA,NA,NA,NA,0.53901159,1.071725673,-1.189579903,NA
6e14f4034e782617c3ae143ef74c3de4,Firmicutes,Negativicutes,Propionisporales,Propionisporaceae,Pelosinus,-0.226580393,NA,NA,NA,NA,NA,NA,NA,NA
73b7563f30dc3ad68a861e25ce589c0a,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,-0.397374282,NA,0.27592788,NA,NA,NA,NA,NA,NA
74b5e290724d621524a132c83d4164f3,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Asaia,-0.284321366,NA,NA,0.217484468,NA,NA,1.096990993,NA,NA
74fd73c11b1b41a953d621e26ab290a8,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodovarius,NA,0.104235685,NA,NA,NA,-0.196450027,-0.262067259,0.344565974,NA
77c55b0f6c379835576843cf02171325,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,NA,NA,NA,0.463584099,NA,NA,NA,NA
77d6a7db6de3bb1f15a02fdb36f90627,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,-0.324184249,NA,NA,NA,NA,0.683043622,NA,NA,NA
7808d9998d7c3f332e84b59eb2b9a074,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Family_Pseudomonadaceae,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
7917ea4a8baaaaad51430b1d6e563817,Proteobacteria,Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,-0.418748206,NA,NA,NA,NA,NA,NA,NA,NA
7a3d3263f85a0821e953a8154ec4e91d,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
7ae748a8220ad5940affe29cbeefca57,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
7bc6304a3b13c6ca73dfca4497a00dc5,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
7bf741f431f17d832621f072db3189ac,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,Family_Caldilineaceae,-0.480656052,NA,NA,NA,NA,NA,NA,NA,NA
7e350e713938e4db19d55b3ffd310d38,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Undibacterium,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
7f1487c191bfa6ccc9085821aadf4324,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,NA,NA,NA,-0.271812648,-0.131641158,NA,-0.219444247,-0.280982415
802ee9764e76d0872a9892cdfeb43ef6,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Erwinia,NA,NA,0.256039949,NA,NA,NA,NA,NA,NA
80a305cdd00e92a1ec31e49726e5c579,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,-0.445618726,NA,NA,NA,NA,NA,NA,NA,NA
8114950780beaf8e8023491a1630a176,Firmicutes,Negativicutes,Sporomusales,Thermosinaceae,Anaerospora,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
8253a32e37cc65a796a92ee67b50d870,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Lawsonella,0.454129411,NA,NA,NA,-0.862579691,NA,NA,NA,NA
83c5080c17148e57203bfe91dfc8f1f5,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,SIO2C1,-0.324184249,NA,NA,NA,NA,NA,NA,NA,NA
