ASV,Phylum,Class,Order,Family,Genus,Species,Conventional vs Parental,Lab vs Parental,Lab vs Conventional,P:L (1:1) vs P:L (10:1),Uncolonized vs Colonized
340e6bf7f2bf13b0945e9b68034a1f0c,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,Genus_Leucobacter,NA,4.536013487,NA,NA,NA
38356624d04e633aa689a6ffc05a137f,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter_887417,Pedobacter solisilvae,8.273536434,6.490405987,NA,NA,NA
38c2a261f81a7ed09f39ac6f9fd0cf2e,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Variovorax,Variovorax paradoxus_C_587666,NA,NA,6.30917369,NA,NA
3bdf3962a4d6b9738dc1bfa095f6cc8e,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Genus_Sphingobacterium,NA,NA,NA,NA,9.314101117
3caf30133a391f2f85e2365d24923375,Proteobacteria,Gammaproteobacteria,Xanthomonadales_616009,Xanthomonadaceae_616009,Stenotrophomonas_A_615274,Genus_Stenotrophomonas_A_615274,NA,-13.38307745,-14.03199395,NA,NA
438dc2a2ea2405a782df5830ae62100e,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_500471,Rhizobiaceae_A_500471,Agrobacterium,Genus_Agrobacterium,NA,-7.58233291,-9.179242254,-2.888581391,NA
43f41dd4045f31804b91facdd53eab41,Proteobacteria,Gammaproteobacteria,Xanthomonadales_616009,Xanthomonadaceae_616009,Stenotrophomonas_A_615274,Stenotrophomonas_A_615274 maltophilia_615059,NA,NA,6.784817332,NA,NA
443ed63d256a53a303f58081aecb52f5,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504705,Xanthobacteraceae_503485,Bradyrhizobium,Genus_Bradyrhizobium,NA,-8.36203606,-8.980869219,NA,NA
4ca76612b5cecf33d2c41ec0a47779ed,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Family_Burkholderiaceae_A_592522,Family_Burkholderiaceae_A_592522,-7.84343487,NA,8.037996104,NA,NA
4e6dc966ff878651c691ea5e0ae83425,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,Genus_Leucobacter,11.61831651,9.896860309,NA,5.993898531,NA
50327287c87739f3f9f69fbd4be61170,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae_929731,Family_Chitinophagaceae_929731,Family_Chitinophagaceae_929731,11.24874506,9.482295568,NA,3.933417768,NA
565eb788433094300eceacd42ade4899,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Rhodococcus_B,Genus_Rhodococcus_B,NA,-6.235366713,-5.904029812,NA,NA
5c6e55f7e70bb09ca49e91e9cb4b4708,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides_A_392796,Genus_Nocardioides_A_392796,NA,NA,5.943058165,NA,NA
609cfe075d3af9506da2e29b0db659fe,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas_L_486704,Genus_Sphingomonas_L_486704,NA,-10.99884927,-6.455088891,NA,NA
60f0a102e1b3118286adc774264b5b7d,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc_B,Leuconostoc_B lactis,-7.172318271,NA,6.437817852,NA,NA
6436c703aacff5693f132a7d9f43c459,Chloroflexota,Chloroflexia,Thermomicrobiales,Order_Thermomicrobiales,Order_Thermomicrobiales,Order_Thermomicrobiales,NA,NA,NA,4.569122143,NA
6c84542f6460f7b4cd5bf61da89bf26a,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,Genus_Leucobacter,12.39924445,10.53616308,NA,6.770719566,NA
6dfa84b8f177fa35bc72cd78db089121,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter_887417,Genus_Pedobacter_887417,7.192039299,NA,NA,NA,NA
74fd73c11b1b41a953d621e26ab290a8,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodovarius,Rhodovarius lipocyclicus,NA,NA,6.220005938,NA,NA
77c55b0f6c379835576843cf02171325,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas_L_486704,Genus_Sphingomonas_L_486704,NA,-7.068545044,-9.60253907,-4.734100218,NA
7823e8282bf202611291fced87a02e77,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter_487784,Genus_Caulobacter_487784,-7.570725624,NA,8.299121468,-2.83742885,NA
793f678e9801f8c4cc3b95887542a860,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter_887417,Genus_Pedobacter_887417,9.951142881,8.304384763,NA,4.125209909,NA
7a21c9fea813dd4d7670e06c68be9aa7,Bacteroidota,Bacteroidia,Flavobacteriales_877923,Weeksellaceae,Chryseobacterium_796614,Genus_Chryseobacterium_796614,9.014352798,7.261651415,NA,NA,NA
8c2fb0cdbe0db119375869b5c4b20a53,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,Genus_Leucobacter,8.856567144,7.340985155,NA,NA,NA
8cb92babedb9f4ff7bedee4ac4f47370,Proteobacteria,Alphaproteobacteria,Azospirillales_507929,Azospirillaceae_507917,Azospirillum,Genus_Azospirillum,NA,NA,NA,-5.852667821,NA
8db9ec3c6c2da03db22d64f72b6f0c7d,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Genus_Lactiplantibacillus,NA,NA,7.437518253,NA,NA
9bfe08c51b7a63c8130c31cf1c4c5665,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504705,Beijerinckiaceae,Bosea,Genus_Bosea,NA,-10.23481583,-10.92105403,NA,NA
9c0fb370e79191f46ba2658dd16f3f7a,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter_887417,Pedobacter insulae,NA,7.784298921,8.071178059,NA,NA
a1a3200b76bcd6000a0914892d370b6e,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Family_Enterococcaceae,Family_Enterococcaceae,NA,NA,7.430396366,NA,NA
a4818b56888b43b62d55c202674fbf9a,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_501396,Rhizobiaceae_A_499470,Pseudochrobactrum,Genus_Pseudochrobactrum,NA,NA,NA,-7.203432329,NA
ad9a88474fe1a5a88942053997b2b30b,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter_487784,Genus_Caulobacter_487784,NA,-6.697808655,-11.82612809,NA,NA
af3aa9331136e6efa93c0f4aff4feb32,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Fibrella,Fibrella aestuarina,NA,-7.112797313,-7.669418494,NA,NA
b0a78ca52dd6794c45a59f60f1ca34a3,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Siphonobacter,Siphonobacter aquaeclarae,NA,NA,NA,-3.239831763,NA
b0ece91adb4b5f088b363eee0398a44a,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_501396,Rhizobiaceae_A_499470,Mesorhizobium_F_498388,Mesorhizobium_F_498388 terrae,NA,-8.076292822,-8.802711837,-6.723112319,NA
b39c338f5e964b6cb87e07f10badc6c4,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus_A_346120,Genus_Lactococcus_A_346120,NA,NA,9.783324677,NA,NA
b753f12f9355e2e87f9e88e7a4b4cf9b,Proteobacteria,Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,NA,NA,5.707361041,NA,NA
bd465698358b623000238aaed1cd9f48,Firmicutes,Clostridia_258483,Lachnospirales,Lachnospiraceae,Anaerocolumna,Genus_Anaerocolumna,NA,NA,NA,NA,10.97191633
c54b6665341382ceb4e098c161040fbb,Bacteroidota,Bacteroidia,Flavobacteriales_877923,Weeksellaceae,Elizabethkingia,Elizabethkingia meningoseptica,7.712409434,-8.574453571,-15.88562896,NA,NA
c896cb40f6f2735b5fb9267fb5dd3b73,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,Genus_Leucobacter,NA,7.782990513,NA,7.495299705,NA
cb3cc5876d4b54a19741bf207cf7e4ee,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_501637,Kaistiaceae_501637,Kaistia,Kaistia algarum,NA,NA,NA,NA,8.246223332
d2208d27b5df4c53eb547f7ac45f4d6b,Bacteroidota,Bacteroidia,Flavobacteriales_877923,Weeksellaceae,Chryseobacterium_796614,Genus_Chryseobacterium_796614,NA,NA,7.905738947,NA,NA
d252e27da33344148b541d5cb79af156,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504705,Beijerinckiaceae,Methylobacterium,Genus_Methylobacterium,NA,-8.837767888,-9.49869373,NA,NA
d9d980e45e7118c91301ed3c168b9af7,Proteobacteria,Gammaproteobacteria,Burkholderiales_592522,Burkholderiaceae_A_592522,Family_Burkholderiaceae_A_592522,Family_Burkholderiaceae_A_592522,-8.50531454,NA,7.624593744,NA,NA
e048cc7d0a6d9b097d9d93583a69179f,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504705,Xanthobacteraceae_504696,Labrys_504696,Labrys wisconsinensis,NA,-8.673661709,-8.470855747,NA,NA
e5e45fe5960b838c45765068621efcd5,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter_887417,Genus_Pedobacter_887417,NA,NA,NA,NA,6.464826002
f25258050e7014072df83152acbdeb94,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504705,Phreatobacteraceae,Phreatobacter,Genus_Phreatobacter,NA,NA,NA,-6.938371152,NA
f5367bb24f0d0667c1abe09ca11310bd,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides_A_392796,Nocardioides_A_392796 simplex,NA,NA,NA,3.048350834,NA
fa34fcf46783dd613a648010f4e4e0e9,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,Genus_Leucobacter,-10.35067163,NA,8.599801776,NA,NA
fc936c6b90c5c078276467f421c48a9c,Proteobacteria,Gammaproteobacteria,Burkholderiales_595422,Burkholderiaceae_A_595422,Pigmentiphaga,Genus_Pigmentiphaga,NA,NA,5.64140908,7.394625609,NA
fd40ac4023455395df66ebf5baacf6e1,Bacteroidota,Bacteroidia,Flavobacteriales_877923,Crocinitomicaceae,Fluviicola,Genus_Fluviicola,NA,6.717677349,8.706730558,-4.329579495,NA
