,Start_date,Trial,Microbial_Background,Density,Well,Total_Larvae,Pupated,Died,micro_den
23,7/23/2023,2,Parental:Lab (10:1),Early Field Average,5,10,0.4,0.3,Parental:Lab (10:1) Early Field Average
24,7/23/2023,2,Parental:Lab (10:1),Early Field Average,6,10,0.3,0.4,Parental:Lab (10:1) Early Field Average
25,7/23/2023,2,Parental:Uncolonized Field (1:1),Early Field Average,1,10,0.5,0.2,Parental:Uncolonized Field (1:1) Early Field Average
26,7/23/2023,2,Parental:Uncolonized Field (1:1),Early Field Average,2,10,0.3,0.1,Parental:Uncolonized Field (1:1) Early Field Average
27,7/23/2023,2,Parental:Uncolonized Field (1:1),Early Field Average,3,10,0.3,0.1,Parental:Uncolonized Field (1:1) Early Field Average
28,7/23/2023,2,Parental:Uncolonized Field (1:1),Early Field Average,4,10,0.5,0.2,Parental:Uncolonized Field (1:1) Early Field Average
29,7/23/2023,2,Parental:Uncolonized Field (1:1),Early Field Average,5,10,0.6,0.2,Parental:Uncolonized Field (1:1) Early Field Average
30,7/23/2023,2,Parental:Uncolonized Field (1:1),Early Field Average,6,10,0.2,0,Parental:Uncolonized Field (1:1) Early Field Average
31,8/1/2023,3,Uncolonized Field,Early Field Average,1,10,0.3,0.2,Uncolonized Field Early Field Average
32,8/1/2023,3,Uncolonized Field,Early Field Average,2,10,0.3,0.1,Uncolonized Field Early Field Average
33,8/1/2023,3,Uncolonized Field,Early Field Average,3,10,0.5,0.2,Uncolonized Field Early Field Average
34,8/1/2023,3,Uncolonized Field,Early Field Average,4,10,0.3,0,Uncolonized Field Early Field Average
35,8/1/2023,3,Uncolonized Field,Early Field Average,5,10,0.6,0.1,Uncolonized Field Early Field Average
36,8/1/2023,3,Uncolonized Field,Early Field Average,6,10,0.5,0.1,Uncolonized Field Early Field Average
37,4/25/2024,4,Parental:Uncolonized Field (10:1),Early Field Average,1,10,0.7,0.1,Parental:Uncolonized Field (10:1) Early Field Average
38,4/25/2024,4,Parental:Uncolonized Field (10:1),Early Field Average,2,10,0.5,0,Parental:Uncolonized Field (10:1) Early Field Average
39,4/25/2024,4,Parental:Uncolonized Field (10:1),Early Field Average,3,10,0.5,0.3,Parental:Uncolonized Field (10:1) Early Field Average
40,4/25/2024,4,Parental:Uncolonized Field (10:1),Early Field Average,4,10,0.5,0.1,Parental:Uncolonized Field (10:1) Early Field Average
41,4/25/2024,4,Parental:Uncolonized Field (10:1),Early Field Average,5,10,0.2,0.1,Parental:Uncolonized Field (10:1) Early Field Average
42,4/25/2024,4,Parental:Uncolonized Field (10:1),Early Field Average,6,10,0.3,0.3,Parental:Uncolonized Field (10:1) Early Field Average
43,4/25/2024,4,Colonized Field,Early Field Average,1,9,0.555555556,0.111111111,Colonized Field Early Field Average
44,4/25/2024,4,Colonized Field,Early Field Average,2,10,0.5,0.4,Colonized Field Early Field Average
45,4/25/2024,4,Colonized Field,Early Field Average,3,10,0.6,0.4,Colonized Field Early Field Average
46,4/25/2024,4,Colonized Field,Early Field Average,4,10,0.5,0,Colonized Field Early Field Average
47,4/25/2024,4,Colonized Field,Early Field Average,5,10,0.6,0.2,Colonized Field Early Field Average
48,4/25/2024,4,Colonized Field,Early Field Average,6,10,0.4,0,Colonized Field Early Field Average
49,4/25/2024,4,CNV,Early Field Average,1,10,0.5,0.1,CNV Early Field Average
50,4/25/2024,4,CNV,Early Field Average,2,10,0.5,0,CNV Early Field Average
51,4/25/2024,4,CNV,Early Field Average,3,10,0.4,0.2,CNV Early Field Average
52,4/25/2024,4,CNV,Early Field Average,4,10,0.4,0.1,CNV Early Field Average
53,4/25/2024,4,CNV,Early Field Average,5,9,0.444444444,0.222222222,CNV Early Field Average
54,4/25/2024,4,CNV,Early Field Average,6,10,0.3,0.4,CNV Early Field Average
