,date,treatment,density,Well,Sex,Length,Survival
91,7/17/2023,Parental,early field,4,Male,1.613,9
92,7/17/2023,Parental,early field,5,Female,1.901,6
93,7/17/2023,Parental,early field,5,Female,2.227,6
94,7/17/2023,Parental,early field,5,Male,2.004,6
95,7/17/2023,Parental,early field,5,Male,2.101,6
96,7/17/2023,Parental,early field,6,Female,1.995,8
97,7/17/2023,Parental,early field,6,Male,1.922,8
98,7/17/2023,Parental,early field,6,Male,2.004,8
99,7/17/2023,Parental,early field,6,Male,1.986,8
100,4/25/2024,Conventional,early field,1,Female,2.271,9
101,4/25/2024,Conventional,early field,1,Female,2.078,9
102,4/25/2024,Conventional,early field,1,Male,1.686,9
103,4/25/2024,Conventional,early field,1,Male,2.085,9
104,4/25/2024,Conventional,early field,1,Male,2.107,9
105,4/25/2024,Conventional,early field,2,Female,1.925,10
106,4/25/2024,Conventional,early field,2,Male,1.865,10
107,4/25/2024,Conventional,early field,3,Female,2.498,8
108,4/25/2024,Conventional,early field,3,Female,1.99,8
109,4/25/2024,Conventional,early field,3,Male,2.004,8
110,4/25/2024,Conventional,early field,3,Male,1.967,8
111,4/25/2024,Conventional,early field,4,Female,2.21,9
112,4/25/2024,Conventional,early field,4,Female,2.039,9
113,4/25/2024,Conventional,early field,4,Male,2.095,9
114,4/25/2024,Conventional,early field,4,Male,1.779,9
115,4/25/2024,Conventional,early field,5,Female,2.292,7
116,4/25/2024,Conventional,early field,5,Female,2.338,7
117,4/25/2024,Conventional,early field,5,Female,2.299,7
118,4/25/2024,Conventional,early field,5,Female,2.2,7
119,4/25/2024,Conventional,early field,6,Male,2.114,6
120,4/25/2024,Conventional,early field,6,Male,2.206,6
121,4/25/2024,Parental:Uncolonized Field (10:1),early field,1,Female,1.953,9
122,4/25/2024,Parental:Uncolonized Field (10:1),early field,1,Male,1.816,9
123,4/25/2024,Parental:Uncolonized Field (10:1),early field,1,Male,1.905,9
124,4/25/2024,Parental:Uncolonized Field (10:1),early field,1,Male,1.837,9
125,4/25/2024,Parental:Uncolonized Field (10:1),early field,1,Male,1.891,9
126,4/25/2024,Parental:Uncolonized Field (10:1),early field,1,Male,1.877,9
127,4/25/2024,Parental:Uncolonized Field (10:1),early field,2,Female,1.752,10
128,4/25/2024,Parental:Uncolonized Field (10:1),early field,2,Male,1.882,10
129,4/25/2024,Parental:Uncolonized Field (10:1),early field,3,Female,2.168,7
130,4/25/2024,Parental:Uncolonized Field (10:1),early field,3,Female,1.794,7
131,4/25/2024,Parental:Uncolonized Field (10:1),early field,3,Male,1.655,7
132,4/25/2024,Parental:Uncolonized Field (10:1),early field,3,Male,1.886,7
133,4/25/2024,Parental:Uncolonized Field (10:1),early field,3,Male,1.78,7
134,4/25/2024,Parental:Uncolonized Field (10:1),early field,4,Female,2.035,9
135,4/25/2024,Parental:Uncolonized Field (10:1),early field,4,Female,2.077,9
136,4/25/2024,Parental:Uncolonized Field (10:1),early field,4,Female,1.878,9
137,4/25/2024,Parental:Uncolonized Field (10:1),early field,4,Male,2.008,9
138,4/25/2024,Parental:Uncolonized Field (10:1),early field,5,Male,1.68,9
139,4/25/2024,Parental:Uncolonized Field (10:1),early field,5,Male,1.757,9
140,4/25/2024,Parental:Uncolonized Field (10:1),early field,6,Female,2.025,7
141,4/25/2024,Parental:Uncolonized Field (10:1),early field,6,Male,1.94,7
142,4/25/2024,Colonized Field,early field,1,Female,1.846,8
143,4/25/2024,Colonized Field,early field,1,Female,2.234,8
144,4/25/2024,Colonized Field,early field,1,Female,1.974,8
145,4/25/2024,Colonized Field,early field,1,Male,1.856,8
146,4/25/2024,Colonized Field,early field,1,Male,1.94,8
147,4/25/2024,Colonized Field,early field,2,Female,2.421,6
148,4/25/2024,Colonized Field,early field,2,Female,2.346,6
149,4/25/2024,Colonized Field,early field,2,Male,1.726,6
150,4/25/2024,Colonized Field,early field,2,Male,2.146,6
151,4/25/2024,Colonized Field,early field,2,Male,2.017,6
152,4/25/2024,Colonized Field,early field,3,Female,2.177,6
153,4/25/2024,Colonized Field,early field,3,Female,2.114,6
154,4/25/2024,Colonized Field,early field,3,Female,2.226,6
155,4/25/2024,Colonized Field,early field,3,Male,2.007,6
156,4/25/2024,Colonized Field,early field,4,Female,2.087,10
157,4/25/2024,Colonized Field,early field,4,Female,1.996,10
158,4/25/2024,Colonized Field,early field,4,Male,1.983,10
159,4/25/2024,Colonized Field,early field,4,Male,1.934,10
160,4/25/2024,Colonized Field,early field,5,Female,2.073,8
161,4/25/2024,Colonized Field,early field,5,Female,1.972,8
162,4/25/2024,Colonized Field,early field,5,Male,2.026,8
163,4/25/2024,Colonized Field,early field,5,Male,2.008,8
164,4/25/2024,Colonized Field,early field,5,Male,2.061,8
165,4/25/2024,Colonized Field,early field,6,Female,1.922,10
166,4/25/2024,Colonized Field,early field,6,Female,2.089,10
