,Sample_Control,Water_Larvae,Timepoint,Trial,Time_Elaspsed,Treatment,Replicate,Larvae_Start,Larvae_End_Total,Larvae_Sampled,Larvae_End_FIRST,Larvae_End_SECOND,Larvae_End_THIRD,Larvae_End_FOURTH,Density.CFU.mL.,Library_quant
LP196,True Sample,water,12Day,5,12,L0,D,0,0,0,0,0,0,0,2.17E+08,36
LP181,True Sample,water,48hr,5,12,L2,D,2,2,2,0,1,0,1,1.40E+08,10
LP84,True Sample,larvae,12Day,2,12,L10,D,20,12,12,0,0,2,10,1.13E+08,5.8
LP162,True Sample,larvae,12Day,4,12,L10,A,15,10,10,0,0,5,5,6.00E+06,7.3
LP36,True Sample,larvae,12Day,1,12,L10,A,10,8,8,0,0,1,7,86700000,2
LP126,True Sample,water,12Day,3,12,L0,A,0,0,0,0,0,0,0,56700000,0.132
LP18,True Sample,water,12Day,1,12,L2,B,2,2,2,0,0,0,2,1.63E+08,2.98
LP90,True Sample,water,48hr,3,12,L2,B,2,2,2,0,0,0,2,1.10E+08,1.09
LP119,True Sample,water,48hr,4,12,L2,C,2,2,0,0,0,0,2,35300000,3.88
LP203,True Sample,water,12Day,5,12,L10,C,15,10,10,0,3,3,4,4.10E+07,20
LP39,True Sample,larvae,12Day,1,12,L10,D,10,2,2,0,0,1,1,3.27E+08,0.632
LP129,True Sample,water,12Day,3,12,L0,D,0,0,0,0,0,0,0,1.23E+08,2.59
LP67,True Sample,water,12Day,2,12,L2,A,2,2,2,0,0,1,1,1.10E+08,3.37
LP81,True Sample,larvae,12Day,2,12,L2,D,2,2,2,0,1,1,0,1.77E+08,0.538
LP51,True Sample,water,48hr,2,12,L0,A,0,0,0,0,0,0,0,1.47E+08,3.71
LP97,True Sample,water,48hr,3,12,L10,D,10,7,6,0,1,3,3,2.00E+07,2.52
LP38,True Sample,larvae,12Day,1,12,L10,C,10,6,6,0,0,3,3,1.43E+08,0.704
LP82,True Sample,larvae,12Day,2,12,L10,B,20,19,19,0,4,9,6,36700000,13
LP171,True Sample,water,48hr,5,12,L0,B,0,0,0,0,0,0,0,6.60E+07,2.2
LP160,True Sample,larvae,12Day,4,12,L2,C,2,2,0,0,0,0,2,35300000,1.2
LP68,True Sample,water,12Day,2,12,L2,B,2,1,1,0,0,1,1,1.13E+08,2.28
LP195,True Sample,water,12Day,5,12,L0,C,0,0,0,0,0,0,0,1.13E+08,11
LP147,True Sample,water,12Day,4,12,L2,A,2,2,0,0,0,0,2,38700000,15
LP161,True Sample,larvae,12Day,4,12,L2,D,2,2,0,0,0,0,2,5.70E+07,1.46
LP63,True Sample,water,12Day,2,12,L0,B,0,0,0,0,0,0,0,66700000,5.3
LP130,True Sample,water,12Day,3,12,L2,A,2,2,2,0,0,0,2,46700000,2.22
LP118,True Sample,water,48hr,4,12,L2,B,2,2,0,0,0,2,0,43700000,13
LP95,True Sample,water,48hr,3,12,L10,C,10,5,5,0,0,1,4,46700000,2.93
LP184,True Sample,larvae,12Day,5,12,L2,D,2,2,2,0,1,0,1,1.40E+08,1.11
LP103,True Sample,larvae,12Day,3,12,L2,C,2,2,2,0,0,1,1,66700000,8.9
LP52,True Sample,water,48hr,2,12,L0,B,0,0,0,0,0,0,0,66700000,2.5
LP80,True Sample,larvae,12Day,2,12,L2,C,2,2,2,0,0,1,1,56700000,0.477
LP73,True Sample,water,12Day,2,12,L10,C,20,12,12,0,1,0,11,7.00E+07,4.33
LP104,True Sample,larvae,12Day,3,12,L2,D,2,2,2,0,0,2,0,93300000,2.49
LP33,True Sample,larvae,12Day,1,12,L2,A,2,2,2,0,1,1,0,2.57E+08,0.456
LP186,True Sample,larvae,12Day,5,12,L10,B,15,9,9,0,3,1,5,23300000,1.07
LP173,True Sample,water,48hr,5,12,L0,D,0,0,0,0,0,0,0,2.17E+08,6.4
LP116,True Sample,water,48hr,4,12,L2,A,2,2,0,0,0,0,2,38700000,0.928
LP198,True Sample,water,12Day,5,12,L2,B,2,1,1,0,1,0,0,1.43E+08,31
LP133,True Sample,water,12Day,3,12,L2,D,2,2,2,0,0,2,0,93300000,3.52
LP200,True Sample,water,12Day,5,12,L2,D,2,2,2,0,1,0,1,1.40E+08,37
LP35,True Sample,larvae,12Day,1,12,L2,D,2,1,1,0,0,0,1,2.13E+08,0.638
LP193,True Sample,water,12Day,5,12,L0,A,0,0,0,0,0,0,0,38300000,26
LP101,True Sample,larvae,12Day,3,12,L2,A,2,2,2,0,0,0,2,46700000,0.558
LP23,True Sample,water,12Day,1,12,L0,C,0,0,0,0,0,0,0,3.73E+08,2.02
LP197,True Sample,water,12Day,5,12,L2,A,2,1,1,0,1,0,0,8.00E+07,62
LP153,True Sample,water,12Day,4,12,L0,C,0,0,0,0,0,0,0,86700000,13
LP202,True Sample,water,12Day,5,12,L10,B,15,9,9,0,3,1,5,23300000,24
LP92,True Sample,water,48hr,3,12,L2,D,2,2,2,0,0,2,0,93300000,6
LP15,True Sample,water,48hr,1,12,L0,C,0,0,0,0,0,0,0,3.73E+08,0.664
LP183,True Sample,larvae,12Day,5,12,L2,B,2,1,1,0,1,0,0,1.43E+08,0.483
LP16,True Sample,water,48hr,1,12,L0,D,0,0,0,0,0,0,0,3.07E+08,0.403
LP66,True Sample,water,12Day,2,12,L0,E,0,0,0,0,0,0,0,1.53E+08,4.46
LP182,True Sample,larvae,12Day,5,12,L2,A,2,1,1,0,1,0,0,8.00E+07,0.725
LP165,True Sample,larvae,12Day,4,12,L10,D,15,13,13,0,1,2,10,1.20E+07,1.86
LP62,True Sample,water,12Day,2,12,L0,A,0,0,0,0,0,0,0,1.47E+08,8.7
LP142,True Sample,water,12Day,4,12,L10,C,15,8,8,0,0,3,5,15300000,7.2
LP65,True Sample,water,12Day,2,12,L0,D,0,0,0,0,0,0,0,73300000,7
LP10,True Sample,water,48hr,1,12,L2,B,2,2,2,0,0,0,2,1.63E+08,3.33
