ASV,Phylum,Class,Order,Family,Genus,Coefficient of Maternal ASV (hatch),Coefficient of Egg Water ASV (hatch),Coefficient of Paternal ASV (hatch),Coefficient of Maternal ASV (pupation),Coefficient of Paternal ASV (pupation),Coefficient of Egg Water ASV (pupation),Coefficient of Late Water ASV (pupation),Coefficient of Egg Water ASV (survival),Coefficient of Late Water ASV (survival),Coefficient of Maternal ASV (survival),Coefficient of Paternal ASV (survival),Hatch Sample Type Conditionality,Pupation Sample Type Conditionality,Survival Sample Type Conditionality
1b2567820cc1e0a34960a02c766161e4,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Family_Enterobacteriaceae,NA,NA,NA,NA,-0.719648723,NA,NA,NA,NA,NA,NA,NA,7.484448862,NA
1bfddc56f0549c7953359140bb8c64b1,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,NA,NA,NA,NA,-0.544978995,NA,NA,NA,NA,NA,NA,NA,NA,NA
1d1533db28dba4af61f1d5cc6633f2fa,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Aquitalea,NA,NA,NA,0.205590808,NA,NA,0.269286899,NA,NA,NA,NA,NA,10.86124008,13.21823357
1e81258348c55daeef435f6100eee461,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Family_Enterobacteriaceae,NA,NA,NA,-1.465188798,NA,NA,NA,NA,NA,NA,NA,NA,17.45658783,12.53044652
1ee27fee30b2e6832a2be5e28f0978f3,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,NA,NA,NA,NA,NA,-0.406864776,NA,NA,NA,NA,NA,NA,39.4380807,13.00705732
2228925453f05f31ac661681aa9941d6,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,NA,NA,0.259620097,NA,0.414079504,NA,NA,NA,NA,NA,NA,NA,11.74553154,10.55399269
25378e41f19be3a40f90da3cc055bc9f,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudoalteromonas,NA,NA,NA,NA,NA,0.90362973,NA,NA,NA,NA,NA,NA,23.82862907,NA
265de43fbbc0ebb4c8378e5404a8728c,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,NA,-0.106467896,NA,NA,-0.112158276,NA,NA,NA,NA,NA,12.74003596,20.79430541,NA
26f1fe1d525ec8756078e905957888b6,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA,NA,NA,NA,NA,0.808392335,1.530572507,NA,NA,NA,NA,NA,16.9203151,NA
274b25ca87d226e1ec1b3648758ff5a8,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Aquabacter,NA,NA,-0.28292947,-0.340751414,NA,NA,-0.306146974,NA,NA,-1.482013621,NA,NA,13.47738257,20.76561239
290d00e82b7625c8ab79f9ad9ce480b8,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,NA,NA,NA,NA,0.564870571,0.567322051,NA,NA,NA,NA,NA,NA,27.41263503,NA
2acba250c4746ff617d6615723a04ab7,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,NA,NA,NA,NA,-0.868502092,NA,NA,NA,NA,NA,NA,NA,5.937764741,NA
2ad6256a8aa79756698ddd1b89ed7ad1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,NA,NA,NA,NA,NA,NA,NA,NA,0.582944256,NA,NA,10.94101248,NA,12.93815676
2bcc7082f4a29b154bcaa87cf00b4fe3,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,NA,NA,NA,NA,0.63188491,NA,NA,NA,NA,NA,NA,NA,34.84091118,NA
2d0d11f29cae22f945211c2fb8bd424c,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseococcus,NA,NA,NA,-1.482114381,NA,NA,NA,NA,NA,NA,NA,NA,25.29736626,12.53044652
2e4055a3568601599bde5e951c455dd9,Firmicutes,Bacilli,Class_Bacilli,Class_Bacilli,Class_Bacilli,NA,NA,NA,NA,-0.746412971,NA,1.586858286,NA,NA,NA,NA,NA,53.03127738,NA
2eef066edc32e6009723e7da97135edf,Firmicutes,Bacilli,Bacillales,Order_Bacillales,Order_Bacillales,NA,NA,NA,NA,-0.771628478,NA,NA,NA,NA,NA,NA,NA,6.998925946,NA
30cfacf248039e5b1f840115bff89215,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,0.431943088,NA,NA,-1.477158786,NA,NA,NA,NA,NA,NA,NA,12.84547775,14.22613907,NA
3190ea7b37383fa02f757f43964f9998,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UBA1930,NA,NA,NA,NA,NA,0.654614024,NA,NA,NA,NA,NA,NA,22.6286083,NA
31f38e67c39e25a4a8b4583dc7cd8846,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Family_Xanthobacteraceae,NA,NA,0.259620097,NA,0.414079504,NA,NA,NA,NA,NA,NA,NA,11.74553154,10.55399269
331657258038535df96ea6665290782a,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,NA,NA,NA,-1.230512231,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.53044652
33d7a7c0173453d98174432239cd49cb,Chloroflexota,Anaerolineae,Aggregatilineales,Aggregatilineaceae,Aggregatilinea,0.391618554,NA,NA,-1.454506589,NA,NA,NA,NA,NA,NA,NA,NA,19.25670553,11.89450688
38356624d04e633aa689a6ffc05a137f,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,-0.415255142,NA,NA,0.77343719,-0.655874145,-0.150490691,-0.773172109,NA,NA,NA,NA,17.27639706,60.40531279,16.44233375
38c2a261f81a7ed09f39ac6f9fd0cf2e,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,-0.499088646,NA,NA,NA,NA,-0.123067443,NA,NA,NA,-0.499453336,NA,13.74877784,10.42890141,15.1004943
3901df51425ba2a8d72bb780babe7a48,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niabella,NA,NA,NA,NA,NA,NA,0.574829298,NA,NA,NA,NA,NA,17.25571648,NA
39183d7b959435dfb732ddeab840b00e,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,NA,NA,NA,NA,-0.367815096,NA,NA,NA,NA,NA,NA,NA,NA,NA
394eeccf5a2a35b9e7c32243563eef03,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,NA,NA,0.28574775,NA,0.457943028,NA,NA,NA,NA,NA,NA,NA,11.92969205,10.55915828
3a75074368d793b1de0d8090a6340a1c,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Bact-08,NA,NA,0.338866945,NA,0.548719942,NA,NA,NA,NA,NA,NA,NA,12.29193643,10.57260754
3b0c59f289139b6c1c6133e175296aac,Actinobacteriota,Actinomycetia,Actinomycetales,Dermatophilaceae,Family_Dermatophilaceae,NA,NA,NA,NA,0.470520798,NA,NA,NA,NA,NA,NA,NA,15.85745674,12.53044652
3bdf3962a4d6b9738dc1bfa095f6cc8e,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA,NA,NA,NA,-0.736366985,NA,NA,NA,NA,NA,NA,NA,9.165360898,NA
3dcf95f04c5e5084618a820fded0a048,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,NA,NA,NA,-1.038260017,NA,NA,NA,NA,NA,NA,NA,NA,14.98884171,12.24551516
3dd3157ed7ddbf7dc91392de6b888fbc,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Spiro-10,NA,NA,0.233484356,NA,0.37064827,NA,NA,NA,NA,NA,NA,NA,11.55636377,10.54985276
3e112563e0ef973d16a7554ff4166b12,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Family_Sphingomonadaceae,NA,NA,0.250544764,NA,0.398950932,NA,NA,NA,NA,NA,NA,NA,11.68044569,10.55243682
3ea027ac9c30306db8fd5fd74cf30c63,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA,NA,NA,NA,0.564870571,NA,NA,NA,NA,NA,NA,NA,NA,13.15767286
438dc2a2ea2405a782df5830ae62100e,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,NA,0.127843839,NA,0.718691575,-0.31437261,NA,NA,NA,0.38870846,NA,NA,18.48536932,25.94156767,NA
43f41dd4045f31804b91facdd53eab41,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,NA,NA,NA,NA,NA,0.181356642,NA,NA,NA,NA,NA,NA,NA
4472b8a122f7775d492278da34a2c780,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Empedobacter,NA,NA,NA,NA,-0.771628478,NA,NA,NA,NA,NA,NA,NA,8.142156774,NA
44d2df836124b3a024baa940060336ea,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Family_Enterobacteriaceae,NA,NA,NA,-1.462874184,NA,NA,NA,NA,NA,NA,NA,NA,20.61149635,12.53044652
4810fbab877c32e917880c61301fe5e1,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,QFOI01,NA,NA,NA,NA,0.785191228,NA,NA,NA,NA,NA,NA,NA,8.389288005,13.15767286
49a361dc4554ca6f03bc8d8bf47e329c,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,NA,NA,NA,NA,-0.868502092,NA,NA,NA,NA,NA,NA,NA,5.937764741,NA
4ca76612b5cecf33d2c41ec0a47779ed,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,-0.289479546,NA,NA,0.61675455,0.227018198,0.175243175,NA,-0.230239807,-0.255323262,NA,NA,NA,NA,13.08049846
4d723a182561c3d3e0268d0a49d1c1b1,Firmicutes,Clostridia,Peptostreptococcales,Anaerovoracaceae,Anaerovorax,NA,NA,NA,NA,0.564870571,NA,NA,NA,NA,NA,NA,NA,16.39647556,12.53044652
4db91a7e3a86803d4143abb8b533885d,Actinobacteriota,Actinomycetia,Mycobacteriales,Geodermatophilaceae,Blastococcus,NA,NA,NA,NA,-0.680972983,NA,NA,NA,NA,NA,NA,NA,7.834649519,NA
4e6dc966ff878651c691ea5e0ae83425,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,NA,NA,NA,NA,NA,0.466637447,0.347257824,NA,NA,NA,NA,NA,NA,23.08716094
50a3b56e0b7db75ee9daccf7a751ba41,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA,NA,NA,0.471864987,NA,NA,NA,NA,NA,NA,NA,11.59022098,15.94385195,NA
50cd0822f350f8f5e1f8c59e67e10980,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA,NA,NA,-1.038260017,-0.868502092,0.479552981,NA,NA,NA,NA,NA,NA,40.6012403,NA
524c385df0ab7e16602e53b507548e80,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Bact-08,NA,NA,0.243399342,NA,0.387072557,NA,NA,NA,NA,NA,NA,NA,11.62875959,10.55130014
541ec62b0f90585ad0169ee26ccab743,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylophilus,NA,NA,NA,NA,0.906988844,NA,NA,NA,NA,NA,NA,NA,21.56840642,NA
56a83a5563d39e60b1403d155627944b,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,NA,NA,NA,-1.2458071,NA,NA,NA,NA,NA,NA,NA,12.52908381,17.15359156,NA
588b5ccdde9b0d39d61568731d7e223f,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,-0.387965868,NA,NA,0.299561203,-0.676934295,NA,NA,NA,NA,NA,NA,16.44335763,40.96382594,15.03187769
5a643416912cd501b32774890bd72a5f,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,NA,NA,-1.476128842,NA,NA,NA,NA,NA,NA,NA,NA,7.265776058,12.53044652
5b0166761098e7f06ef757c1472d2502,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,-0.467325749,NA,NA,0.297760913,NA,NA,NA,NA,NA,NA,NA,NA,19.53357302,11.47197081
5b1302e60016e322bbdc6979447a86ed,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,NA,NA,NA,NA,0.584589943,0.446454346,1.006681283,NA,NA,NA,NA,NA,13.76262438,NA
5c96ec70d2839b27eb48f2226c96e2ca,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA,NA,NA,NA,NA,0.998402085,NA,NA,NA,NA,NA,NA,63.75614209,NA
5ea47811a8275ec5dadade92ce4f0434,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,NA,NA,NA,NA,-0.808239221,NA,NA,NA,NA,-0.775458286,NA,NA,NA,NA
5f29d9b4f0b89c4e06ffe87ff913822d,Proteobacteria,Gammaproteobacteria,Immundisolibacterales,Immundisolibacteraceae,Immundisolibacter,NA,NA,NA,NA,-0.868502092,NA,NA,NA,NA,NA,NA,NA,5.937764741,NA
5f62852c777d05477e044c49c5941041,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA,NA,NA,0.568260555,NA,NA,NA,NA,NA,NA,NA,NA,6.105922264,13.55873743
5f6d574b15cbc75cdffbc84b329bb26a,Firmicutes,Bacilli,Class_Bacilli,Class_Bacilli,Class_Bacilli,NA,NA,0.259620097,NA,0.414079504,NA,NA,NA,NA,NA,NA,NA,11.74553154,10.55399269
62d93060a86b3c0bb37b3634e5529004,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus,NA,NA,NA,NA,NA,NA,0.498258137,NA,NA,NA,NA,NA,14.0321399,NA
62f2ca0a35761f1dca706cd4bd60d153,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Family_Beijerinckiaceae,NA,NA,NA,NA,0.332649411,NA,NA,NA,NA,NA,NA,NA,15.42032876,12.53044652
65a13f1d1a0ce42556e49a570ddd8dcf,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,NA,NA,NA,NA,-0.454576434,0.607299454,NA,NA,NA,NA,NA,NA,10.92262814,NA
65e2fe387bfdf0fa880811cceac1d59e,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,NA,NA,NA,0.486314296,NA,NA,NA,NA,NA,NA,NA,NA,16.38707458,NA
66abaee179be7e5928c221b18207caf9,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Family_Microbacteriaceae,NA,NA,NA,NA,NA,NA,1.085553104,NA,NA,NA,NA,NA,13.12397485,NA
677929eac52be081cdae08a0b9c70eb2,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Family_Enterobacteriaceae,NA,NA,NA,0.307810712,-0.251305331,0.303264403,NA,NA,NA,NA,NA,NA,24.33359366,15.11348719
69f3be1ce26140f5820552e2a9d49289,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Flectobacillus,NA,NA,NA,NA,1.246045851,NA,NA,NA,NA,NA,NA,NA,12.61913181,NA
6a9e6cd156ec3e7ca51f4912bfe49614,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,NA,NA,0.270509809,NA,0.43230526,NA,NA,NA,NA,NA,NA,NA,11.82284495,10.5560233
6abcee93286fa4a279e47953bc18a7a7,Planctomycetota,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,UBA2421,NA,NA,NA,-1.226154067,NA,NA,NA,NA,NA,NA,NA,NA,22.74103917,12.53044652
6ba560a76661744bc65eed04953c1314,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,NA,NA,NA,0.527060814,0.509491162,NA,NA,NA,NA,NA,NA,NA,20.9335048,NA
6c84542f6460f7b4cd5bf61da89bf26a,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,NA,-0.132241191,NA,-1.038260017,NA,NA,NA,NA,NA,NA,NA,NA,15.55999191,NA
6c891abaa8f2147383dd332e601800eb,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Micrococcus,NA,NA,NA,NA,NA,0.53901159,1.067947955,NA,NA,NA,NA,NA,23.55705111,NA
73b7563f30dc3ad68a861e25ce589c0a,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA,NA,0.27592788,NA,0.392779051,NA,0.6124589,NA,NA,NA,NA,14.06351743,26.01734615,NA
73cd0b59d3c1ee6c6470bd953cc007a2,Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,Family_Gemmataceae,NA,NA,NA,NA,-0.719648723,NA,NA,NA,NA,NA,NA,NA,7.484448862,NA
74b5e290724d621524a132c83d4164f3,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Asaia,-0.284321362,NA,NA,0.271908424,NA,NA,1.06474314,NA,NA,NA,NA,NA,34.1422669,NA
74fd73c11b1b41a953d621e26ab290a8,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodovarius,NA,0.104235685,NA,NA,NA,-0.196450027,-0.214135701,NA,NA,NA,NA,NA,9.944775098,NA
77c55b0f6c379835576843cf02171325,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,NA,NA,NA,0.503248197,NA,NA,NA,NA,NA,NA,NA,30.17405776,NA
77d6a7db6de3bb1f15a02fdb36f90627,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,NA,NA,NA,NA,NA,0.68304363,NA,NA,NA,NA,NA,NA,10.66009274,NA
7808d9998d7c3f332e84b59eb2b9a074,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Family_Pseudomonadaceae,NA,NA,NA,NA,NA,NA,0.350895015,NA,NA,NA,NA,NA,21.67216948,NA
7917ea4a8baaaaad51430b1d6e563817,Proteobacteria,Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,NA,NA,NA,NA,-0.808239221,NA,NA,NA,NA,NA,NA,NA,10.08440425,8.329141913
7b054f04ff8194f7a97cbbd55455ceef,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA,NA,NA,NA,1.198518216,NA,NA,NA,NA,NA,NA,NA,NA,12.91726172
7bc6304a3b13c6ca73dfca4497a00dc5,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,NA,NA,NA,-1.482114381,NA,NA,NA,NA,NA,NA,NA,NA,25.29736626,12.53044652
7f1487c191bfa6ccc9085821aadf4324,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,NA,NA,NA,-0.381595526,-0.189197405,NA,NA,-0.241967947,NA,NA,NA,13.37835907,NA
802ee9764e76d0872a9892cdfeb43ef6,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Erwinia,NA,NA,0.256039949,NA,0.408107194,NA,NA,NA,NA,NA,NA,NA,11.71992873,10.553364
8114950780beaf8e8023491a1630a176,Firmicutes,Negativicutes,Sporomusales,Thermosinaceae,Anaerospora,NA,NA,NA,-1.326910703,NA,NA,NA,NA,NA,NA,NA,NA,31.73733033,12.53044652
8253a32e37cc65a796a92ee67b50d870,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Lawsonella,0.431943088,NA,NA,NA,NA,NA,1.102726389,NA,NA,NA,NA,NA,39.82219595,NA
8310deaf296c304dea209d19107677a0,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA,NA,NA,NA,NA,NA,1.006681283,NA,NA,NA,NA,NA,31.96256783,NA
84716245f53ab2236b84538a9cdd74ed,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,NA,NA,NA,0.745976103,-2.035193711,0.571081558,0.374900552,NA,NA,NA,NA,NA,52.02445231,NA
84739a30798ceb9d9290e4412e67eb24,Actinobacteriota,Actinomycetia,Actinomycetales,Cellulomonadaceae,Cellulosimicrobium,NA,NA,0.568491912,NA,0.982582414,NA,NA,NA,NA,NA,NA,NA,13.80256612,10.66888406
847ef1a2b17a1c61035475b56d24122d,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Massilia,NA,NA,NA,-0.577582021,NA,NA,NA,NA,NA,NA,NA,NA,5.617513686,12.53044652
84ec1399e8ee3618cc0686f28b89dbcb,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,0.349479966,NA,NA,-1.444706277,NA,0.370754403,NA,NA,NA,NA,-2.155011064,18.1918974,38.46460799,14.40415553
886bdebcd1b947ccce00aeac366d8609,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,Bacteriovorax,NA,NA,NA,NA,NA,-0.211293036,-0.371222628,NA,NA,NA,NA,NA,15.02929675,NA
