,Post_Quant,Sample_or_Control,exp,Control_Type,ovi_round,ovi_sample_type,ovi_no_individuals,ovi_trial,ovi_gen,ovi_sex,ovi_date,ovi_cage,identifier,notes,
OVI137,1.6,Sample,ovi,NA,1,Arrested Water,NA,3,2,NA,8_11_22,2,C2 Trial 3,,
OVI105,5,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_11_22,2,C2 Trial 3,,
OVI83,0.305,Sample,ovi,NA,1,Individual Generation 1 Female,1,3,1,female,8_09_22,3,C3 Trial 3,,
OVI106,4.05,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_11_22,4,C4 Trial 3,,
OVI140,0.207,Sample,ovi,NA,1,Arrested Water,NA,3,2,NA,8_11_22,4,C4 Trial 3,,
OVI107,3.39,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_11_22,5,C5 Trial 3,,
OVI139,3.73,Sample,ovi,NA,1,Arrested Water,NA,3,2,NA,8_11_22,5,C5 Trial 3,,
OVI108,0.138,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_09_22,6,C6 Trial 3,,
OVI98,0.544,Sample,ovi,NA,1,Generation 1 Male Pool,3,3,1,male,8_10_22,8,C8 Trial 3,,
OVI109,0.782,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_10_22,8,C8 Trial 3,,
OVI99,0.387,Sample,ovi,NA,1,Generation 1 Male Pool,3,3,1,male,8_11_22,9,C9 Trial 3,,
OVI110,0.187,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_11_22,9,C9 Trial 3,,
OVI111,0.262,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_10_22,10,C10 Trial 3,,
OVI138,1.85,Sample,ovi,NA,1,Arrested Water,NA,3,2,NA,8_10_22,10,C10 Trial 3,,
OVI113,0.2,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_11_22,11,C11 Trial 3,,
OVI102,0.272,Sample,ovi,NA,1,Generation 1 Male Pool,3,3,1,male,8_11_22,12,C12 Trial 3,,
OVI103,1.34,Sample,ovi,NA,1,Individual Generation 1 Female,1,3,1,female,8_11_22,12,C12 Trial 3,,
OVI33,6.2,Sample,ovi,NA,1,Tray Water Sample,NA,3,NA,NA,8_03_22,NA,CNA Trial 3,,
OVI145,1.19,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,2,C2 Trial 4,,
OVI152,2.12,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,4,C4 Trial 4,,
OVI159,1.6,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,5,C5 Trial 4,,
OVI172,1.1,Sample,ovi,NA,2,Individual Generation 1 Female,1,4,1,NA,6_13_23,7,C7 Trial 4,,
OVI146,1.62,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,7,C7 Trial 4,,
OVI184,0.676,Sample,ovi,NA,2,Individual Generation 1 Female,1,4,1,NA,6_13_23,10,C10 Trial 4,,
OVI151,6,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,10,C10 Trial 4,,
OVI191,0.186,Sample,ovi,NA,2,Pupation Water,NA,4,1,NA,6_13_23,11,C11 Trial 4,,
OVI156,2.96,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,11,C11 Trial 4,,
OVI149,6.5,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,12,C12 Trial 4,,
OVI155,4.31,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,13,C13 Trial 4,,
OVI150,3.32,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,14,C14 Trial 4,,
OVI175,0.537,Sample,ovi,NA,2,Generation 1 Male Pool,3,4,1,NA,6_13_23,15,C15 Trial 4,,
OVI162,2,Sample,ovi,NA,2,Pupation Water,NA,4,2,NA,6_13_23,15,C15 Trial 4,,
OVI147,7,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,15,C15 Trial 4,,
OVI154,4.25,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,16,C16 Trial 4,,
OVI153,2.66,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,17,C17 Trial 4,,
OVI158,6.1,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,21,C21 Trial 4,,
OVI163,1.06,Sample,ovi,NA,2,Pupation Water,NA,4,2,NA,6_13_23,22,C22 Trial 4,,
OVI148,2.85,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,22,C22 Trial 4,,
OVI192,1.74,Sample,ovi,NA,2,Pupation Water,NA,4,1,NA,6_13_23,24,C24 Trial 4,,
OVI157,1.99,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,24,C24 Trial 4,,
