"","Sample ID","Sample Type","Pre-pooling DNA (ng/uL)","Total Reads","Observed ASVs","Breakaway Estimate of Richness","Breakaway Error","Shannon Sample-Wise","Shannon Error"
"44","OVI192","Pupation Water"," 1.740",5803,78,82.1881934861917,5.50859390208949,2.96453409895538,0.034693283447558
"45","OVI2","Individual Generation 1 Female"," 2.270",7745,124,126.044830126148,2.00042042516264,3.13251775269445,0.0249123772843698
"46","OVI20","Generation 1 Male Pool"," 3.820",18479,16,16.3386164084997,0.619838015457673,0.217189548212856,0.00658619447387468
"47","OVI21","Generation 1 Male Pool"," 4.040",12250,5,5.00539895861637,0.0739656632275112,0.0609875349524107,0.00425719363085228
"48","OVI22","Generation 1 Male Pool"," 8.800",9984,7,7.02369700845796,0.159096058100439,1.22108159666704,0.00288602451920816
"49","OVI23","Generation 1 Male Pool","10.000",14826,7,7.0606853626887,0.259318719353329,0.561947284800891,0.00493453534177133
"50","OVI24","Tray Water Sample"," 5.400",14959,112,112.943748154819,1.0958353576466,2.57306295833957,0.0191575982539259
"51","OVI25","Tray Water Sample"," 6.200",12150,115,115.139253851853,0.387283651891044,3.12822922674324,0.0137077896498656
"52","OVI26","Egg Water"," 1.490",4818,5,5.18786706840759,0.479855718743913,0.0888165489395563,0.00811217297011741
"53","OVI27","Egg Water"," 6.400",12907,7,7.00033647973353,0.0183712042313707,1.49614123597999,0.00917157462183637
"54","OVI28","Egg Water"," 4.680",6402,9,9.06180949213049,0.259045281073159,1.2531590716546,0.0129189218116777
"55","OVI29","Egg Water"," 9.100",6791,4,4,0,1.0459248945652,0.00528110615711747
"56","OVI30","Egg Water"," 8.200",14906,7,7.18986038041196,0.495740600812522,1.27489714847882,0.00644860390966006
"57","OVI31","Egg Water"," 7.800",10462,33,33.0658569348711,0.266031198249449,2.67991122445814,0.0152547926076292
"58","OVI33","Tray Water Sample"," 6.200",15914,133,139.14514667074,4.92580518344312,3.42706577122884,0.0158397084299462
"59","OVI34","Pupation Water"," 0.783",1999,10,10.1282051282051,1.64709864977959,0.328276196544026,0.0373191888454568
"60","OVI36","Pupation Water","13.000",8924,6,6,0,1.3609084642127,0.012533359163837
"61","OVI37","Pupation Water"," 0.789",2152,23,23.0819672131148,2.4205654768516,1.86965911983886,0.0236125470978572
"62","OVI38","Pupation Water"," 3.860",1781,11,11.0815107070781,0.298032911407386,1.22747991265414,0.0210945200250514
"63","OVI39","Pupation Water"," 2.890",2612,37,37.1489361702128,2.15817790350452,2.49443153292429,0.0196449385863682
"64","OVI4","Individual Generation 1 Female"," 5.500",13817,6,6.125,1.31374455085376,0.0342055381270317,0.00652175184841299
"65","OVI40","Individual Generation 1 Female"," 0.557",1623,44,44.1217404386296,0.369223381012372,1.8871538882362,0.0404160905320455
"66","OVI41","Individual Generation 1 Female"," 1.070",3833,71,71.1244515260213,0.364217309795881,2.10956165847555,0.0192014460532461
"67","OVI42","Individual Generation 1 Female","10.000",7937,6,6.4810500193291,0.85824851598533,0.0747362441930344,0.00841555241550943
"68","OVI43","Individual Generation 1 Female","12.000",16544,3,3.24052500966455,0.606873345596518,0.024504408143775,0.00407701325515505
"69","OVI44","Generation 1 Male Pool"," 2.110",7767,21,21.9365837029938,2.98079234921764,0.268863520754791,0.0178559381079643
"70","OVI45","Generation 1 Male Pool"," 4.940",8714,6,6.18786706840759,0.479855718743913,0.123750332939853,0.00885227966516292
"71","OVI46","Generation 1 Male Pool"," 0.210",192428,9,9.22736219395481,0.514256354853348,0.0074329055844653,0.000659800905678667
"72","OVI47","Generation 1 Male Pool","40.000",7699,2,2.25499478761002,0.734224696626081,0.046136465991166,0.00457394451419251
"73","OVI49","Individual Generation 1 Female"," 0.439",2553,62,62.0497846717555,0.228603413579623,2.2726952704494,0.01630865512042
"74","OVI5","Individual Generation 1 Female"," 1.400",14351,5,5.08757207706146,0.317158261341712,0.14439524889096,0.00524387849547235
"75","OVI50","Generation 1 Male Pool"," 1.670",1190,61,62.0345256624251,1.26472375492481,3.4763904327006,0.0321788027166195
"76","OVI51","Generation 1 Male Pool"," 1.730",2633,94,94.4393396622082,0.737527973464813,3.89467039580276,0.0111155461580766
"77","OVI53","Generation 1 Male Pool"," 0.599",2335,48,49.6011750330583,2.62991487360475,2.55723774287167,0.0271940756397137
"78","OVI55","Generation 1 Male Pool"," 0.491",2894,55,88.180420186125,94.3588730106075,2.83502939326553,0.0190094501728677
"79","OVI56","Generation 1 Male Pool"," 0.671",1319,39,42.548335828932,4.617338809551,2.27038461446488,0.0423198309587889
"80","OVI59","Egg Water"," 5.200",17400,12,12.0618094921305,0.259045281073159,1.50316937032306,0.00739653816656169
"81","OVI6","Individual Generation 1 Female"," 0.327",3178,34,34.9900040170769,1.20323125486228,0.91334413059788,0.0372945947119716
"82","OVI60","Egg Water"," 3.500",19204,14,14.1489361702128,1.87019763437819,1.32105931772609,0.00980911202916302
"83","OVI61","Egg Water"," 0.607",4855,40,40.4839555101001,0.740168323062088,2.18915399188324,0.0136014766737288
"84","OVI62","Egg Water"," 2.030",6480,7,7.19735466039509,0.485341147709243,0.141498347782086,0.011433567096374
"85","OVI63","Egg Water"," 1.260",3820,15,15.2112760388477,0.498270183597739,1.91627376990658,0.0073872352678951
"86","OVI65","Egg Water"," 6.800",17759,14,14.0202284542296,0.149717732424553,1.93570270431802,0.00625473965272546
"87","OVI66","Egg Water"," 4.890",12179,8,8.24052500966455,0.606873345596518,1.05793177096015,0.00806328538459437
"88","OVI67","Egg Water"," 5.000",9107,14,14.4666246612414,0.795084723044615,1.66686225393823,0.012349494552371
"89","OVI71","Pupation Water"," 0.443",2063,33,33.0693920153837,0.272206414435128,2.09807180949513,0.0372448997271617
"90","OVI72","Pupation Water"," 0.162",1319,30,30.7323943661972,2.97290965349516,1.86898542365283,0.0251371859955305
"91","OVI74","Pupation Water"," 1.470",13684,39,39.5947837717094,0.827431361618802,2.20865599684642,0.0082754271199734
"92","OVI75","Pupation Water"," 1.230",1392,13,13.0769258454504,0.286073156201478,0.748746479307906,0.0398983515640592
"93","OVI78","Individual Generation 1 Female"," 8.300",38258,11,11.3164339673533,0.639998363661919,0.42436506919766,0.0035481021289975
"94","OVI8","Individual Generation 1 Female"," 0.203",1375,49,49.4398711508549,0.737505925166566,2.70182948028725,0.0243555900214567
"95","OVI81","Individual Generation 1 Female"," 0.236",446,13,13.5156282777428,1.0213132624039,1.63760448924265,0.0573356238665012
"96","OVI83","Individual Generation 1 Female"," 0.305",1776,19,19.2226947405138,0.493505643771762,1.19978155868381,0.0491610090235622
"97","OVI90","Generation 1 Male Pool"," 0.538",2711,40,40.0831021217737,0.29691279175074,2.94336042365636,0.0327284180706837
"98","OVI98","Generation 1 Male Pool"," 0.544",2020,63,63.2785114713069,0.563187600170134,2.23123395932055,0.0248118424966244
"99","OVI99","Generation 1 Male Pool"," 0.387",1638,44,44.0638353142107,0.260639484800337,2.06985069982149,0.0425812175965953
